position,priority,supplier_name,supplier_type,address,phone,whatsapp,whatsapp_verified,twogis_url,website,instagram,business_hours,relevance_evidence,technical_status,question_to_supplier,notes
"Марля","C","Магазин тканей","Магазин швейной фурнитуры","Улица Затаевича, 75/2, бутик 22, зал 2, Караганда","+7 705 134 88 76","+7 705 134 88 76","true","https://2gis.kz/karaganda/firm/70000001067933529","","https://instagram.com/tkani_karagandy","Сегодня 10:00–17:00","Полная карточка 2GIS: магазин швейной фурнитуры; поисковая карточка называется «Магазин тканей».","⚠️ Требует подтверждения","Продаётся ли белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; резервный профиль."
"Марля","C","Магазин швейной фурнитуры","Магазин швейной фурнитуры","Проспект Бухар-жырау, 66, офис 110, Караганда","+7 701 557 30 48","+7 701 557 30 48","true","https://2gis.kz/karaganda/firm/70000001063790311","","https://instagram.com/shvenaya_furnitura","Сегодня 10:00–18:00","Полная карточка 2GIS: магазин швейной фурнитуры; возможен сопутствующий метражный материал.","⚠️ Требует подтверждения","Есть ли в продаже белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; низкоприоритетный резерв."
"Марля","C","Отдел тканей","Отдел тканей / пряжа","Микрорайон Степной-3, 8, 1 этаж, магазин Турист, Караганда","+7 701 564 71 10","+7 701 564 71 10","true","https://2gis.kz/karaganda/firm/70000001045908221","","","Ежедневно 11:00–17:00","Карточка 2GIS называется «Отдел тканей», основная категория карточки — пряжа.","⚠️ Требует подтверждения","Продаётся ли белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; резерв из-за смешанного профиля."
"Марля","B","Felice","Магазин итальянских тканей","ТЦ Asia, улица Воинов-Интернационалистов, 31, бутик 107, 1 этаж, Караганда","+7 701 736 59 63","+7 701 736 59 63","true","https://2gis.kz/karaganda/firm/70000001017988246","","https://instagram.com/tkani.felice.krg","Ежедневно 10:00–19:30","Полная карточка 2GIS: магазин итальянских тканей; профильный по ткани, но марля не заявлена.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; резерв из-за премиального ассортимента."
"Марля","A","Магазин тканей","Магазин тканей","ТЦ Шыгыс, улица Космонавтов, 1Б, бутик 3, 2 этаж, Караганда","+7 702 397 64 94","+7 702 397 64 94","true","https://2gis.kz/karaganda/firm/11822477302912766","","https://instagram.com/tekstil_tkani_krg","Сегодня 10:30–16:30; обед 13:00–13:30","Полная карточка 2GIS: профильный магазин тканей с публичным Instagram.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие сегодня.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точные параметры марли публично не доказаны."
"Марля","A","Тканиссимо","Магазин тканей","Гоголевский пассаж, улица Гоголя, 37/3, бутик 6, 2 этаж, Караганда","+7 701 121 72 77","+7 701 121 72 77","true","https://2gis.kz/karaganda/firm/70000001069931648","","https://instagram.com/nadinkunuspekova","Сегодня 11:00–18:00","Полная карточка 2GIS: магазин; найден по запросу магазинов тканей, два филиала.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли не доказан."
"Марля","C","Btp","Швейное производство","Улица Штурманская, 1/9, Караганда","+7 708 705 54 80","+7 708 705 54 80","true","https://2gis.kz/karaganda/firm/70000001116834399","https://hq-company.satu.kz/g9039165-shvejnyj-tseh","https://instagram.com/promposhiv.kz","Сегодня 09:00–18:00","Полная карточка 2GIS: швейное производство; потенциальный профессиональный покупатель/держатель расходных тканей.","⚠️ Требует подтверждения","Продаёте ли белую тканевую марлю шириной строго 1 м в розницу; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; низкоприоритетный резерв, розничная продажа не доказана."
"Марля","A","Русские бязи у Бахыт","Магазин тканей","ТЦ Саркыт, улица Затаевича, 75, бутики 35–36, 1 этаж, Караганда","+7 701 353 92 01","","false","https://2gis.kz/karaganda/firm/70000001025663688","","https://instagram.com/gold.shtory.aidana","Сегодня 10:00–17:00","Полная карточка 2GIS: категория «Ткани», профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон подтверждён в 2GIS; отдельной кнопки WhatsApp нет."
"Марля","A","Modern","Бутик тканей","ТЦ Даулет, проспект Бухар-жырау, 53/1, бутик 7, 1 этаж, Караганда","+7 701 777 61 20","+7 701 777 61 20","true","https://2gis.kz/karaganda/firm/70000001049706673","","https://instagram.com/tkani_modern_krg","Часы работы см. в карточке 2GIS","Полная карточка 2GIS: бутик тканей, профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли не доказан."
"Марля","A","Магазин тканей","Магазин тканей","ТЦ Тумар Строй, улица Молокова, 108, бутик 7, Караганда","+7 701 403 97 56","+7 701 403 97 56","true","https://2gis.kz/karaganda/firm/70000001035465529","","https://instagram.com/tkani_v_krg_","Сегодня 10:00–16:00","Полная карточка 2GIS: категория «Ткани», профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли не доказан."
"Марля","C","toykz_10.2","Магазин тойбастар и текстиля","Улица Молокова, 123/5 к10, корпус 10, бутик 2, центр Самал, Караганда","+7 700 000 80 20","+7 700 000 80 20","true","https://2gis.kz/karaganda/firm/70000001064090433","","https://instagram.com/toykz_10.2","Сегодня 10:00–17:00","Полная карточка 2GIS: магазин тойбастар; в поисковой выдаче по тканям, возможен текстильный ассортимент.","⚠️ Требует подтверждения","Продаётся ли белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; низкоприоритетный резерв."
"Марля","B","Anelecotton","Интернет-магазин текстиля","Улица Ержанова, 10/2, офис 208, 2 этаж, Караганда","+7 708 905 09 04","+7 708 905 09 04","true","https://2gis.kz/karaganda/firm/70000001085373681","","https://instagram.com/anele_cotton","Сегодня 09:00–18:00","Карточка 2GIS: интернет-магазин; найден в выдаче магазинов тканей, название и Instagram указывают на хлопковый текстиль.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; розничный самовывоз и ассортимент марли нужно уточнить."
"Марля","A","Dream_Dyusenbaeva","Магазин тканей и швейной фурнитуры","Улица Ерубаева, 48, 2 этаж, Караганда","+7 701 772 43 69","+7 701 772 43 69","true","https://2gis.kz/karaganda/firm/70000001054413612","","https://instagram.com/dream_dyusenbaeva","Сегодня 14:00–18:30 по предварительной записи","Полная карточка 2GIS: магазин тканей и швейной фурнитуры, профильный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли публично не доказан."
"Марля","A","Отдел тканей","Отдел тканей","ТЦ Экспресс, улица Зелинского, ст22/3, 1 этаж, Караганда","+7 701 610 39 91","+7 701 610 39 91","true","https://2gis.kz/karaganda/firm/70000001098916357","","","Ежедневно 10:00–17:00","Полная карточка 2GIS: категория «Ткани», профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли публично не доказан."
"Марля","A","Арман","Магазин тканей","Рынок Алтын Арба, улица Затаевича, ст10/2 к7, Караганда","+7 778 308 38 03","+7 778 308 38 03","true","https://2gis.kz/karaganda/firm/70000001034767570","","","Сегодня 10:00–17:00","Полная карточка 2GIS: магазин тканей на рынке, профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точный ассортимент марли публично не доказан."
"Марля","C","Estet Decor","Магазин штор и текстиля","137-й учетный квартал, 39, Караганда","+7 702 113 10 59","+7 702 113 10 59","true","https://2gis.kz/karaganda/firm/70000001040607337","","https://instagram.com/shtory_karaganda_textile","Ежедневно 10:00–19:00","Карточка 2GIS: магазин; Instagram и поисковая выдача указывают на шторы и текстиль.","⚠️ Требует подтверждения","Продаётся ли белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; низкоприоритетный резерв."
"Марля","C","Jasmin","Магазин штор и тканей","ТЦ Саркыт, улица Затаевича, 75, бутик 54, 1 этаж, Караганда","+7 777 175 56 79","+7 777 175 56 79","true","https://2gis.kz/karaganda/firm/70000001076796006","","https://instagram.com/salon_shtory_krg","Сегодня 10:00–17:30","Карточка 2GIS: магазин; Instagram и выдача по тканям подтверждают текстильный профиль.","⚠️ Требует подтверждения","Продаётся ли белая тканевая марля шириной строго 1 м; доступно ли 25 пог. м одним отрезом; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; низкоприоритетный резерв."
"Марля","B","Витанова","Медицинские расходные материалы","Улица Абая, 71, 1 этаж, Караганда","+7 721 292 22 04","","false","https://2gis.kz/karaganda/firm/11822477302830146","https://vitanova.kz","","Сегодня 09:00–17:00; обед 13:00–14:00","Полная карточка 2GIS: профильная категория «Медицинские расходные материалы»; возможна медицинская марля.","⚠️ Требует подтверждения","Есть ли белая тканевая медицинская марля шириной строго 1 м; продаётся ли 25 пог. м одним рулоном/отрезом в розницу; цена и наличие.","Телефон подтверждён в 2GIS; отдельной кнопки WhatsApp нет; ширина и розничный формат не доказаны."
"Марля","B","Айниса","Медицинские расходные материалы","Улица Толепова, 8а, Караганда","+7 705 411 33 21","+7 705 411 33 21","true","https://2gis.kz/karaganda/firm/70000001090428308","","https://instagram.com/raskhod.mat_ainisa","Сегодня 10:00–18:00","Полная карточка 2GIS: профильная категория «Медицинские расходные материалы»; возможна медицинская марля.","⚠️ Требует подтверждения","Есть ли белая тканевая медицинская марля шириной строго 1 м; продаётся ли 25 пог. м одним рулоном/отрезом в розницу; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; точная ширина и розничный формат не доказаны."
"Марля","B","Дезофарм","Оптово-розничная фирма медицинских расходников","ТД Абзал, проспект Бухар-жырау, 50а, офис 4, 6 этаж, Караганда","+7 701 512 67 02","+7 701 348 76 62","true","https://2gis.kz/karaganda/firm/11822477302830637","https://www.dezopharm.kz","","Сегодня 09:00–17:00; обед 13:00–14:00","Полная карточка 2GIS: оптово-розничная фирма в выдаче медицинских расходных материалов; возможна медицинская марля.","⚠️ Требует подтверждения","Есть ли белая тканевая медицинская марля шириной строго 1 м; продаётся ли 25 пог. м одним рулоном/отрезом в розницу; цена и наличие.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; номер WhatsApp отличается от основного телефона."
